url,precio,precio_valor,precio_moneda,mantenimiento_valor,caracteristicas,m2_totales,m2_construidos,recamaras,banos,estacionamientos,antiguedad,direccion,ubicacion,descripcion,amenidades,lat,lng,scraped_created_at,scraped_updated_at
https://propiedades.com/inmuebles/casa-en-venta-tonala-93-lomas-de-rio-medio-ii-veracruz-31511417,"MXN 1,540,000",1540000.0,MXN,0.0,110 m² const. | 3 rec. | 2 baños,,110.0,3,2,0,A estrenar,TONALA  #93,"Lomas de Rio Medio II, Veracruz, Veracruz de Ignacio de la Llave","TONALA  #93, Col. Lomas de Rio Medio II C.P. 91809, Veracruz",,19.2053408,-96.19778509999999,2026-06-27T14:44:01.983363,2026-06-27T14:44:01.983363
https://propiedades.com/inmuebles/casa-en-venta-priv-reina-fraccionamiento-hacienda-sotavento-91699-hacienda-sotavento-ver-hacienda-sotavento-veracruz-31315293,"MXN 580,000",580000.0,MXN,0.0,31 m² const. | 1 rec. | 1 baños,31.0,31.0,1,1,1,15 años,Priv. Reina,"Hacienda Sotavento, Veracruz, Veracruz de Ignacio de la Llave","Priv. Reina, Fraccionamiento Hacienda Sotavento, 91699 Hacienda Sotavento, Ver., Col. Hacienda Sotavento C.P. 91698, Veracruz",,19.1603948,-96.1699336,2026-06-27T14:44:27.980947,2026-06-27T14:44:27.980947
https://propiedades.com/inmuebles/casa-en-venta-mavara-58-las-bajadas-veracruz-31507582,"MXN 1,237,000",1237000.0,MXN,0.0,99 m² const. | 2 rec. | 1 baños,120.0,99.0,2,1,1,15 años,MAVARA #58,"Las Bajadas, Veracruz, Veracruz de Ignacio de la Llave","MAVARA #58, Col. Las Bajadas C.P. 91726, Veracruz",,19.1751065,-96.1725856,2026-06-27T14:44:27.980972,2026-06-27T14:44:27.980972
https://propiedades.com/inmuebles/casa-en-venta-aragon-000-ricardo-flores-magon-veracruz-31460036,"MXN 5,800,000",5800000.0,MXN,0.0,275 m² const. | 3 rec. | 4 baños | 4 estac.,,275.0,3,4,4,15 días en Propiedades.com,Aragón #000Int. 000,"Ricardo Flores Magón, Veracruz, Veracruz de Ignacio de la Llave","Aragón #000Int. 000, Col. Ricardo Flores Magón C.P. 91900, Veracruz",Aire acondicionado | Cisterna,19.1914151,-96.1275175,2026-06-27T14:44:27.980976,2026-06-27T14:44:27.980976
https://propiedades.com/inmuebles/casa-en-venta-chiveria-infonavit-veracruz-29593907,"MXN 890,000",890000.0,MXN,0.0,120 m² const.,67.0,120.0,0,0,0,A estrenar,,"Chivería INFONAVIT, Veracruz, Veracruz de Ignacio de la Llave"," , Col. Chivería INFONAVIT C.P. 91714, Veracruz",,19.183778,-96.171031,2026-06-27T14:44:27.981012,2026-06-27T14:44:27.981012
https://propiedades.com/inmuebles/casa-en-venta-av-arenas-342-ampliacion-cuauhtemoc-veracruz-28509797,"MXN 750,000",750000.0,MXN,0.0,85 m² const. | 3 rec. | 2 baños,,85.0,3,2,0,2 años en Propiedades.com,AV ARENAS 342,"Ampliación Cuauhtémoc, Veracruz, Veracruz de Ignacio de la Llave","AV ARENAS 342, Col. Ampliación Cuauhtémoc C.P. 91790, Veracruz",Seguridad privada | Cisterna | Terraza,19.194643,-96.1516468,2026-06-27T14:44:27.981015,2026-06-27T14:44:27.981015
https://propiedades.com/inmuebles/casa-en-venta-v-reforma-veracruz-31463485,"MXN 5,800,000",5800000.0,MXN,0.0,325 m² const. | 3 rec. | 3 baños,,325.0,3,3,0,13 días en Propiedades.com,V,"Reforma, Veracruz, Veracruz de Ignacio de la Llave","V, Col. Reforma C.P. 91919, Veracruz",Aire acondicionado | Cisterna | Terraza,19.1707806,-96.1248675,2026-06-27T14:44:27.981018,2026-06-27T14:44:27.981018
https://www.propiedades.com/inmuebles/casa-en-venta-almendro-floresta-veracruz-31424371,"MXN 2,250,000",2250000.0,MXN,0.0,67 m² const. | 1 rec. | 1 baños | 2 estac.,,67.0,1,1,2,24 días en Propiedades.com,ALMENDRO,"Floresta, Veracruz, Veracruz de Ignacio de la Llave","ALMENDRO, Col. Floresta C.P. 91940, Veracruz",Seguridad privada | Aire acondicionado | Cisterna,19.1556264,-96.1354683,2026-06-27T14:44:27.981035,2026-06-27T14:44:27.981035
https://propiedades.com/inmuebles/casa-en-venta-sector-11-buenavista-infonavit-veracruz-31465093,"MXN 936,500",936500.0,MXN,0.0,76 m² const. | 3 rec. | 2 baños,,76.0,3,2,0,12 días en Propiedades.com,SECTOR  #11,"Buenavista INFONAVIT, Veracruz, Veracruz de Ignacio de la Llave","SECTOR  #11, Col. Buenavista INFONAVIT C.P. 91850, Veracruz",,19.200312999999998,-96.1712596,2026-06-27T14:44:27.981037,2026-06-27T14:44:27.981037
https://propiedades.com/inmuebles/casa-en-venta-veracruz-lomas-del-rio-medio-veracruz-31080385,"MXN 575,000",575000.0,MXN,0.0,96 m² const. | 3 rec. | 1 baños,,96.0,3,1,0,2 meses en Propiedades.com,Veracruz,"Lomas Del Rio Medio, Veracruz, Veracruz de Ignacio de la Llave","Veracruz, Col. Lomas Del Rio Medio C.P. 91809, Veracruz",,19.2053408,-96.1977851,2026-06-27T14:44:27.981050,2026-06-27T14:44:27.981050
