url,precio,precio_valor,precio_moneda,mantenimiento_valor,caracteristicas,m2_totales,m2_construidos,recamaras,banos,estacionamientos,antiguedad,direccion,ubicacion,descripcion,amenidades,lat,lng,tipo_propiedad,tipo_operacion,scraped_created_at,scraped_updated_at
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-real-mandinga/casa-de-3-recamaras-con-amplio-jardin-en-venta-real-mandinga-riviera-veracruzana/149035370,"MXN 3,390,000",3390000.0,MXN,0.0,293.0 m² lote | 3 rec. | 1 banos | 2 estac.,293.0,157.0,3,1,2,5,"Rio Coatzacoalcos, Fraccionamiento Real Mandinga, Alvarado, Veracruz, Mexico vivanuncios, ","Veracruz, Alvarado, Fraccionamiento Real Mandinga","¡Bienvenido a casa! Tu nuevo hogar te espera en Real Mandinga, el amplio jardín de esta casa es ideal para tus reuniones de familia y el bienestar de tus mascotas. Ubicada en esquina y con jardín común en la parte posterior, su ubicación te brinda privacidad y tranquilidad. Metros de terreno: 298m3 Superficie de construcción: 157m3 Precio de venta $ 3,390,000.00 MXN Distribución planta baja Sala – comedor con salida a terraza Cocina integral con barra desayunador Patio de lavado Medio baño de visitas Terraza con amplio jardín lateral Estacionamiento semitechado para 2 autos Distribución planta alta 3 recámaras climatizadas, 2 con closets 1 baño completo Salida a azotea con escalera de herrería ¡No pierdas tu oportunidad, agenda cita y conócela! ¿Tienes una propuesta? ¡Te escuchamos!",Seguridad privada | Aire acondicionado | Terraza | Jardin,19.045187,-96.0596811,Casa,Venta,2026-06-21T20:34:29.349197,2026-06-21T20:34:29.349197
https://www.vivanuncios.com.mx/a-venta-casa/lomas-de-la-rioja/cv33-casa-en-venta-lomas-de-la-rioja/149206217,"MXN 2,790,000",2790000.0,MXN,0.0,157.0 m² lote | 2 rec. | 2 banos | 2 estac.,157.0,115.0,2,2,2,A estrenar,"Cv33 Casa EN Venta Lomas DE LA Rioja, Lomas de la Rioja, Alvarado, Veracruz, Mexico vivanuncios, ","Veracruz, Alvarado, Lomas de la Rioja","Descripción Tenemos para ti ésta nueva propiedad de un nivel en venta ubicada en el fraccionamiento de mayor éxito dentro de la Riviera Veracruzana: Residencial Lomas de La Rioja. ¡Conócelo! Las características que conforman ésta propiedad constan de lo siguiente: - Cochera para un auto. - Sala. - Comedor. - Medio baño para visitas. - Cocina integral. - Dos habitaciones con baño completo cada una. - Alberca privada. Amenidades • Facilidad para estacionarse • Garaje • Accesibilidad para adultos mayores • Accesibilidad para personas con discapacidad • Cocina • Cocina integral • Fraccionamiento privado • Portero • Seguridad 24 horas • Una sola planta • Alberca • Área de juegos infantiles • Gimnasio • Cisterna • Jardín • Parrilla *IMPORTANTE: El precio está sujeto a cambios sin previo aviso. """,Alberca | Seguridad privada | Cisterna | Jardin,19.0448802,-96.0606391,Casa,Venta,2026-06-21T20:34:29.349257,2026-06-21T20:34:29.349257
https://www.vivanuncios.com.mx/a-venta-casa/graciano-sanchez-romo/casa-en-venta-en-boca-del-rio/148492560,"MXN 4,750,000",4750000.0,MXN,0.0,273.0 m² lote | 4 rec. | 3 banos | 2 estac.,273.0,434.0,4,3,2,A estrenar,"Graciano Sanchez, Boca DEL RIO, Graciano Sánchez Romo, Boca del Río, Veracruz, Mexico vivanuncios, ","Veracruz, Boca del Río, Graciano Sánchez Romo","Casa en venta en Boca del Río $4,750,000 Terreno de 273.61 m2 Construcción 434m2 PB. -estacionamiento para 2 vehículos -estancia -comedor a doble altura -sala de tv -cocina -un baño completo -recámara con closet -cuarto de lavado -terraza techada con pérgolas de madera -jardín con alberca con chapoteadero PA -recámara principal con terraza, baño completo, vestidor y jacuzzi -recámara de usos múltiples -dos recámaras secundarias, una de ellas con balcón -baño completo compartido para las recámaras secundarias *precio y disponibilidad sujeto a cambios sin previo aviso *precio más gastos de escrituración *Precios y disponibilidad sujeto a cambios sin previo aviso *Fotos ilustrativas mas no representativas (en caso de aplicar) *Costo mas Gastos de Escrituración.",Alberca | Seguridad privada | Terraza | Jardin,19.1163154,-96.1090951,Casa,Venta,2026-06-21T20:34:29.349392,2026-06-21T20:34:29.349392
https://www.vivanuncios.com.mx/a-venta-casa/xalapa/residencia-nueva-en-venta-con-gran-ventilacion-e-iluminacion-natural/149828725,"MXN 5,100,000",5100000.0,MXN,0.0,211.0 m² lote | 3 rec. | 2 banos | 2 estac.,211.0,254.0,3,2,2,A estrenar,"Paseo del Cocuyo, Xalapa, Veracruz, Mexico vivanuncios, ","Veracruz, Xalapa","Hermosa Casa Nueva en Venta Diseño moderno, excelentes espacios y una distribución pensada para disfrutar cada rincón del hogar 211 m² de terreno 254 m² de construcción PLANTA BAJA ️Garaje para 2 autos ️1/2 baño para visitas ️Amplio espacio de sala ️Amplio espacio de comedor ️Cocina integral con isla y elegantes barras de cuarzo ️Amplio y bonito jardín PLANTA ALTA ️Sala de TV ️Recámara principal con baño completo y vestidor ️Recámara secundaria con baño completo y vestidor ️Recámara secundaria con clóset y baño completo AMENIDADES ️Cisterna ️Canceles templados en baños y escalera ️Preparación para aire acondicionado en todas las habitaciones Una propiedad ideal para quienes buscan amplitud, iluminación natural y acabados modernos en un ambiente cómodo y elegante ID INTERNO: CR288 En caso d",Alberca | Seguridad privada | Aire acondicionado | Cisterna | Terraza | Jardin,19.524657328788987,-96.87356724973755,Casa,Venta,2026-06-21T20:34:29.349494,2026-06-21T20:34:29.349494
https://www.vivanuncios.com.mx/a-venta-casa/graciano-sanchez-romo/casa-en-venta-en-col-graciano-sanchez-boca-del-rio/148824394,"MXN 3,500,000",3500000.0,MXN,0.0,120.0 m² lote | 3 rec. | 2 banos | 2 estac.,120.0,200.0,3,2,2,4,"Calle San Andres Tuxtla, Graciano Sánchez Romo, Boca del Río, Veracruz, Mexico vivanuncios, ","Veracruz, Boca del Río, Graciano Sánchez Romo","NO INMOBILIARIAS NI ASESORES, SOLO COMPRADOR DIRECTO. Casa en VENTA seminueva en la Colonia Graciano Sánchez, (junto a La Tampiquera), en residencial cerrado y exclusivo de solo 120 casas., en Boca del Río, Ver., a 10 min. promedio de Andamar, del Dorado, Foro Boca y de las playas. Precio: $ 3,500,000.00 más gastos de escrituración. *EL PRECIO INCLUYE UNA TARJETA DE REGALO DE LIVERPOOL DE $ 2,000.00 Terreno: 120 m2 Construcción: 200 m2 Descripción Amplia cocina integral italiana con barra desayunadora y cubierta de granito, garaje techado para 2 autos, sala-comedor, recibidor, medio baño en planta baja, área de lavado con instalación para lavadora y secadora, jardín frontal, family room, máster room con vestidor, baño balcón, cortinas y minisplit de 18,000 BTU, dos habitaciones secundarias",Alberca | Seguridad privada | Aire acondicionado | Terraza | Jardin,19.11623102389113,-96.10994795767213,Casa,Venta,2026-06-21T20:34:29.349553,2026-06-21T20:34:29.349553
https://www.vivanuncios.com.mx/a-venta-casa/granjas-de-alto-lucero/casa-en-venta-en-col-las-granjas/147847284,"MXN 1,200,000",1200000.0,MXN,0.0,67.0 m² lote | 2 rec. | 1 banos | 0 estac.,67.0,86.0,2,1,0,15,"Casa Venta, Col. LAS Granjas, Granjas de Alto Lucero, Tuxpan, Veracruz, Mexico vivanuncios, ","Veracruz, Tuxpan, Granjas de Alto Lucero","CASA CONTRUIDA EN 2 PLANTAS EN GRANJAS DE ALTO LUCERO EN PLANTA BAJA CUENTA ESCALERAS QUE DAN ACCESO A LA CASA Y  UNA TERRAZA QUE DA A LA CALLE EN EL INTERIOR ESTÁ LA COCINA, SALA, COMEDOR EN PLANTA ALTA SE ENCUENTRAN 2 RECÁMARAS, UN BAÑO COMPLETO Y EL ÁREA DE LAVADO En GRISMA BIENES RAÍCES, te ayudamos a encontrar la propiedad de tus sueños. Ya sea que busques comprar, vender o rentar, ofrecemos un amplio catálogo de viviendas, terrenos, locales comerciales, ranchos, etc. en las mejores ubicaciones. Nuestro equipo te brinda asesoría personalizada, garantizando un proceso transparente y sin complicaciones. ¡Haz realidad tu proyecto inmobiliario con nosotros!""",Seguridad privada | Terraza,20.9482095,-97.4365402,Casa,Venta,2026-06-21T20:34:29.349635,2026-06-21T20:34:29.349635
https://www.vivanuncios.com.mx/a-venta-casa/alvarado/casa-en-preventa-en-punto-lomas/148481658,"MXN 4,250,000",4250000.0,MXN,0.0,160.0 m² lote | 3 rec. | 3 banos | 2 estac.,160.0,180.0,3,3,2,A estrenar,"Punto Lomas, Alvarado, Veracruz, Mexico vivanuncios, ","Veracruz, Alvarado","PUNTO LOMASCASA MARTINA VENTA . . . PLANTA BAJA Garage semi techado para 2 vehículos Sala Comedor Cocina Integral con barra desayunadora Medio baño de visitas Jardin Cuarto de lavado . PLANTA ALTA Recámara principal con baño y vestidor 2 recámaras secundarias con baño y clóset c/u Área de Tv . Terreno 160 m2 Construcción  180 m2 $4,250,000 más gastos de escrituración . PUNTO LOMAS es uno de los fraccionamientos más nuevos de Inverta. Con una ubicación estratégica e inigualable en el corazón de la Riviera Veracruzana. Cuenta con Casa Club con alberca, gimnasio, cancha de paddle y terraza, diseñados especialmente para tu comodidad y bienestar. Cerca de escuelas, tiendas de conveniencia, supermercado, etc. . PRECIO SUJETO A CAMBIO SIN PREVIO AVISO TRAMITAMOS TU CRÉDITO SIN COSTO ADICIONAL",Alberca | Seguridad privada | Terraza | Jardin,19.0566375,-96.0675419,Casa,Venta,2026-06-21T20:34:29.349729,2026-06-21T20:34:29.349729
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-costa-de-oro/costa-de-oro-casa-en-venta-con-alberca-area-de-bar-jardin-gimnasio-y-4-recamaras/142002630,"MXN 13,500,000",13500000.0,MXN,0.0,480.0 m² lote | 4 rec. | 4 banos | 4 estac.,480.0,630.0,4,4,4,A estrenar,"Costa DE Oro, Casa en Venta con Alberca, Área de Bar, Jardín, Gimnasio y 4 Recámaras, Fraccionamiento Costa de Oro, Boca del Río, Veracruz, Mexico viv","Veracruz, Boca del Río, Fraccionamiento Costa de Oro","La planta baja de la casa cuenta con garage para 4 autos con 2 portones eléctricos, entrada principal con un corredor, doble sala, comedor amplio para comedor de 12 sillas, medio baño de visitas, cocina integral amplia, corredor en la parte lateral de la cocina que da al área de atrás y es entrada independiente al gym, oficina. En el área de la alberca, alberca semi-olímpica y área de asador con barra cantina y corredor para mesas, cuarto de máquinas, baño y área de lavado. En planta alta se encuentran 2 recámaras con vestidor, baño y media sala, y 1 recámara con vestidor y baño, y cuarta recámara con baño, closet de blancos, gym con baño completo. *La casa cuenta con interfón con cámara en la entrada, climas en sala, gym y recámaras, bomba de hidroneumatico, gas estacionario y calentador*",Alberca | Seguridad privada | Aire acondicionado | Jardin,19.1427347,-96.103161,Casa,Venta,2026-06-21T20:34:29.349790,2026-06-21T20:34:29.349790
https://www.vivanuncios.com.mx/a-venta-casa/el-morro/casa-3-recamaras-recamaras-en-planta-baja-col-el-morro/149904413,"MXN 3,000,000",3000000.0,MXN,0.0,100.0 m² lote | 3 rec. | 3 banos | 2 estac.,100.0,151.0,3,3,2,A estrenar,"Col. El Morro, El Morro, Boca del Río, Veracruz, Mexico vivanuncios, ","Veracruz, Boca del Río, El Morro","Casa recámara en planta baja con terraza | Col. El morro | $3,000,000 Ubicación Col. El morro Precio $3,000,000 Terreno: 100 m2 Construcción 151 m2 Distribución planta Baja -Sala -Comedor -Cocina con barra desayunador -Recámara con closet y baño - ½ Baño - Estacionamiento para 2 autos Distribición Planta Alta - Recámara Principal con vestidor y baño - Recámara secundaria con closet - Baño completo - Área de lavado - Terraza ROMARE | Bienes Raíces Si quieres conocer más sobre esta unidad o coordinar una visita, no dudes en contactarnos. Referencia de la propiedad: RHO Ver datos WhatsApp / Contacto: Ver datos Aviso Legal: La descripción del inmueble, expensas, impuestos, servicios y medidas son aproximados. Los mismos deberán ser verificados con la documentación pertinente. El presente anunc",Seguridad privada | Terraza,19.1221891,-96.1100208,Casa,Venta,2026-06-21T20:34:29.349835,2026-06-21T20:34:29.349835
https://www.vivanuncios.com.mx/a-venta-casa/residencial-lomas-residencial/lomas-residencial-casa-en-venta-de-3-recamaras-una-de-ellas-en-pb-y-alberca/148995977,"MXN 3,170,000",3170000.0,MXN,0.0,150.0 m² lote | 3 rec. | 3 banos | 2 estac.,150.0,170.0,3,3,2,A estrenar,"Lomas Residencial, Casa en Venta de 3 Recámaras, una de Ellas en pb, y Alberca, Residencial Lomas Residencial, Alvarado, Veracruz, Mexico vivanuncios,","Veracruz, Alvarado, Residencial Lomas Residencial","Tenemos para Ti esta magnífica Casa en VENTA de 3 recámaras, una de ellas en planta baja, también cuenta con jardín y alberca, ubicada en Fraccionamiento Lomas Residencial, uno de los mejores fraccionamientos que forman parte de la Riviera Veracruzana. Las características que conforman esta propiedad constan de lo siguiente: - Cochera para 2 autos. - Sala. - Comedor. - Cocina integral. -Habitación con closet y baño completo. - Jardín. - Alberca privada. -Cisterna. Planta alta: - Estancia. - Habitación secundaria con vestidor y baño completo. - Habitación principal con vestidor y baño completo. *Fotografías de los avances de obra.Lomas Residencial es un residencial con vigilancia, planta de tratamiento, pozo, áreas verdes, áreas infantiles, Oxxo, farmacia y se encuentra junto al Walmart. Pr",Alberca | Seguridad privada | Cisterna | Jardin,19.0717726,-96.0978517,Casa,Venta,2026-06-21T20:34:29.349900,2026-06-21T20:34:29.349900
